240e:bf:b800:1c00::ff66                 # hw-ot-ad.a.yximgs.com
240e:bf:b800:1c00::ff67                 # hw-ot-ad.a.yximgs.com
240e:bf:b800:2801::1:35                 # union.china.com.cn
240e:bf:b800:2801::1:36                 # union.china.com.cn
240e:c3:2800:6:8000:0:b00:38            # g.mnw.cn
240e:cf:8000:5::103                     # by.dyq.cn
240e:cf:8800:53:3::7ea                  # v1.cnzz.com
240e:d6:660b::11c                       # a2put.chinaz.com
240e:e1:8000:1b04::65                   # cp2.eastmoney.com
240e:e1:8000:1b06::21                   # same.eastmoney.com
240e:e1:9600:209:1000::120              # emdcadvertise.eastmoney.com
240e:f7:8e00:1001::a1                   # webtrack.pospal.cn
240e:f7:c000:317::13                    # adimg.liba.com
240e:ff:f100:1009::132                  # monitor.music.qq.com
2600:1406:2e00:1c::1743:2144            # blacktri-a.akamaihd.net
2600:1406:2e00:1c::1743:2145            # tr.mediafin.be
2600:1406:2e00:1c::1743:214f            # gc.newsweek.com
2600:1406:2e00:1c::1743:2155            # tr.mediafin.be
2600:1406:2e00:1c::1743:2157            # blacktri-a.akamaihd.net
2600:1406:2e00:1c::1743:2159            # adsatt.espn.go.com
2600:1406:2e00:1c::1743:215c            # ced-ns.sascdn.com
2600:1406:2e00:1c::1743:2161            # adsatt.espn.go.com
2600:1406:2e00:1c::1743:2166            # ced-ns.sascdn.com
2600:1406:2e00:1f::1743:2105            # crta.metro.co.uk
2600:1406:2e00:1f::1743:2114            # swa.metro.co.uk
2600:1406:2e00:1f::1743:212f            # crta.metro.co.uk
2600:1406:2e00:1f::1743:2130            # swa.metro.co.uk
2600:1406:2e00:20::45c0:8bd8            # web-vitals.bfops.io
2600:1406:2e00:20::45c0:8bdb            # web-vitals.bfops.io
2600:1406:2e00:28::17cb:a608            # sp.dpgmedia.net
2600:1406:2e00:28::17cb:a60b            # advertising-cdn.dpgmedia.cloud
2600:1406:2e00:28::17cb:a60c            # tracking.eurosport.com
2600:1406:2e00:28::17cb:a612            # advertising-cdn.dpgmedia.cloud
2600:1406:2e00:28::17cb:a613            # temptation.ad.nl
2600:1406:2e00:28::17cb:a617            # pixel.magentamarketing.com
2600:1406:2e00:28::17cb:a618            # s.c-ctrip.com
2600:1406:2e00:28::17cb:a61a            # ma-adx.ctrip.com
2600:1406:2e00:28::17cb:a61d            # event.msi.com
2600:1406:2e00:28::17cb:a620            # pixel.magentamarketing.com
2600:1406:2e00:28::17cb:a623            # s.c-ctrip.com
2600:1406:2e00:28::17cb:a624            # events.api.secureserver.net
2600:1406:2e00:28::17cb:a626            # tracking.krone.at
2600:1406:2e00:28::17cb:a628            # events.api.secureserver.net
2600:1406:2e00:28::17cb:a62c            # sp.dpgmedia.net
2600:1406:2e00:29::45c0:8b57            # g.ign.com
2600:1406:2e00:29::45c0:8b59            # g.ign.com
2600:1406:2e00:39d::3561                # boomerang.dell.com
2600:1406:2e00:3a4::3561                # boomerang.dell.com
2600:1406:2e00:493::11ae                # crta.and.co.uk
2600:1406:2e00:496::32ac                # px.staticfiles.at
2600:1406:2e00:499::1464                # uie.data.cbc.ca
2600:1406:2e00:499::1e80                # magento-recs-sdk.adobe.net
2600:1406:2e00:49::172e:d8ca            # collector.prod.expedia.com
2600:1406:2e00:49::172e:d8d0            # collector.prod.expedia.com
2600:1406:2e00:49::172e:d8d1            # creativeassets.asosservices.com
2600:1406:2e00:49a::16c2                # crta.dailymail.co.uk
2600:1406:2e00:49e::3857                # agi-static.indiatimes.com
2600:1406:2e00:49f::11ae                # crta.and.co.uk
2600:1406:2e00:49f::1464                # uie.data.cbc.ca
2600:1406:2e00:49f::16c2                # crta.dailymail.co.uk
2600:1406:2e00:4a1::3857                # agi-static.indiatimes.com
2600:1406:2e00:4a2::16c2                # t.dailymail.co.uk
2600:1406:2e00:4a9::1e80                # magento-recs-sdk.adobe.net
2600:1406:2e00:4ab::32ac                # px.staticfiles.at
2600:1406:2e00:4ac::16c2                # t.dailymail.co.uk
2600:1406:2e00:4d::172e:d844            # monetize-static.viralize.tv
2600:1406:2e00:4d::172e:d845            # ad.line-scdn.net
2600:1406:2e00:4d::172e:d846            # data.mistat.rus.xiaomi.com
2600:1406:2e00:4d::172e:d847            # supersonicads-a.akamaihd.net
2600:1406:2e00:4d::172e:d848            # data.mistat.india.xiaomi.com
2600:1406:2e00:4d::172e:d84b            # pushtoast-a.akamaihd.net
2600:1406:2e00:4d::172e:d84d            # supersonicads-a.akamaihd.net
2600:1406:2e00:4d::172e:d84e            # a.medialaancdn.be
2600:1406:2e00:4d::172e:d84f            # analytics.wildtangent.com
2600:1406:2e00:4d::172e:d852            # a.medialaancdn.be
2600:1406:2e00:4d::172e:d853            # gamerplay67.space
2600:1406:2e00:4d::172e:d854            # ad.line-scdn.net
2600:1406:2e00:4d::172e:d855            # monetize-static.viralize.tv
2600:1406:2e00:4d::172e:d856            # data.mistat.rus.xiaomi.com
2600:1406:2e00:4d::172e:d857            # hydro-ma-proxy.akamaized.net
2600:1406:2e00:4d::172e:d859            # msadsscale.azureedge.net
2600:1406:2e00:4d::172e:d85c            # rtxpx-a.akamaihd.net
2600:1406:2e00:4d::172e:d85d            # analytics.wildtangent.com
2600:1406:2e00:4d::172e:d85f            # gamerplay67.space
2600:1406:2e00:780::228b                # csp.secureserver.net
2600:1406:2e00:785::17ae                # campaign.bharatmatrimony.com
2600:1406:2e00:787::11ae                # iad.anm.co.uk
2600:1406:2e00:788::11ae                # iad.anm.co.uk
2600:1406:2e00:788::228b                # csp.secureserver.net
2600:1406:2e00:78b::1aa8                # events.paramount.tech
2600:1406:2e00:78d::2a1                 # metrics.mzstatic.com
2600:1406:2e00:790::1833                # analytics.htmedia.in
2600:1406:2e00:791::12c5                # iadsdk.apple.com
2600:1406:2e00:793::2a1                 # metrics.mzstatic.com
2600:1406:2e00:797::2a1                 # metrics.mzstatic.com
2600:1406:2e00:798::1833                # analytics.htmedia.in
2600:1406:2e00:799::2a1                 # metrics.mzstatic.com
2600:1406:2e00:79b::12c5                # iadsdk.apple.com
2600:1406:2e00:79f::17ae                # campaign.bharatmatrimony.com
2600:1406:2e00:79f::2a1                 # metrics.mzstatic.com
2600:1406:2e00:7a0::1aa8                # events.paramount.tech
2600:1406:2e00:884::11e2                # cimage.adobe.com
2600:1406:2e00:888::33a7                # mobile-campaigns.avast.com
2600:1406:2e00:88e::107c                # socdm.com
2600:1406:2e00:8a2::21aa                # analytics.rogersmedia.com
2600:1406:2e00:8a4::107c                # socdm.com
2600:1406:2e00:8a5::33a7                # mobile-campaigns.avast.com
2600:1406:2e00:8a6::21aa                # analytics.rogersmedia.com
2600:1406:2e00:8aa::11e2                # cimage.adobe.com
2600:1406:2e00:981::c35                 # sioa.chewy.com
2600:1406:2e00:984::c35                 # sioa.chewy.com
2600:1406:2e00:b::6010:378e             # ds-aksb-a.akamaihd.net
2600:1406:2e00:b::6010:3799             # ds-aksb-a.akamaihd.net
2600:1406:2e00:b::6010:37ad             # ads.mythad.com
2600:1406:2e00:b::6010:37ae             # ads.mythad.com
2600:1406:4c00::1701:ea10               # jioads.akamaized.net
2600:1406:4c00::1701:ea40               # jioads.akamaized.net
2600:1406:4c00::170c:2891               # banners.emol.com
2600:1406:4c00::170c:28b0               # banners.emol.com
2600:1406:4e00:1a::1738:6d26            # cdn.stat-track.com
2600:1406:4e00:1a::1738:6d2a            # cdn-ketchapp.akamaized.net
2600:1406:4e00:1a::1738:6d2d            # cdn.stat-track.com
2600:1406:4e00:1a::1738:6d2f            # cdn-ketchapp.akamaized.net
2600:1407:3c00:10::17dc:f690            # trjs2.mediafin.be
2600:1407:3c00:10::17dc:f69c            # trjs2.mediafin.be
2600:1407:3c00:10::17dc:f6a0            # trjs2.mediafin.be
2600:1407:3c00:10::17dc:f6b5            # trjs2.mediafin.be
2600:1407:3c00:10::17dc:f6b6            # trjs2.mediafin.be
2600:1409:9800:1390::2aa4               # secure-wa-na.unileversolutions.com
2600:1409:9800:1391::2aa4               # secure-wa-na.unileversolutions.com
2600:1409:9800:14::6846:7f95            # l.francetvinfo.fr
